,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
39,bbp049,L23,1,0.06179434765683013,11.0,0.5100291285497714,0.04636628441361559
40,bbp050,L23,1,0.06200556407940785,8.0,0.5314772790931417,0.06643465988664271
41,bbp051,L23,1,0.02080442991793918,12.0,0.5212086931341626,0.04343405776118022
42,bbp052,L23,1,0.04588419486681572,8.0,0.5442302468873303,0.0680287808609163
43,bbp053,L23,1,0.03646019067841968,9.0,0.5016286904674617,0.055736521163051306
44,bbp054,L23,1,0.040460234430630564,9.0,0.5193621141279926,0.05770690156977695
45,bbp055,L23,1,0.04893587422684062,7.0,0.5459353527335771,0.0779907646762253
46,bbp056,L23,1,0.023060369748732414,12.0,0.5032828132111987,0.04194023443426656
47,bbp057,L23,1,0.06616481930168475,12.0,0.5231096646398234,0.04359247205331862
48,bbp060,L4,1,0.023764920349436322,6.0,0.5361410237042887,0.08935683728404813
49,bbp061,L4,1,0.03635960794934694,7.0,0.5340389176835333,0.07629127395479048
50,bbp062,L4,1,0.024692000395027804,6.0,0.5139789171315803,0.08566315285526338
51,bbp063,L4,1,0.056678671016098206,8.0,0.5368686289322635,0.06710857861653294
52,bbp066,L4,1,0.01551150324207117,11.0,0.5010690707918908,0.045551733708353706
53,bbp067,L4,1,0.02681417145865564,12.0,0.5070479123718254,0.04225399269765212
54,bbp068,L4,1,0.02957829282798535,7.0,0.5302162676019511,0.07574518108599301
55,bbp069,L4,1,0.013925471730496693,11.0,0.5313338260673319,0.048303075097030176
56,bbp070,L4,1,0.01742781742764847,11.0,0.5042564825198212,0.04584149841089284
57,bbp071,L4,1,0.030229193964183658,7.0,0.5438229289811516,0.07768898985445023
58,bbp072,L4,1,0.01711633947449761,10.0,0.5239029558115558,0.05239029558115558
59,bbp075,L4,1,0.031518130827309414,7.0,0.5234909229026343,0.07478441755751919
60,bbp076,L4,1,0.028279868509472252,10.0,0.5164730516518804,0.05164730516518804
61,bbp077,L4,1,0.015304746259341834,10.0,0.5116418408786629,0.05116418408786629
62,bbp078,L4,1,0.01884583588899229,11.0,0.5147906658766521,0.046799151443332014
63,bbp079,L4,1,0.05079416973976073,6.0,0.5321424785701356,0.08869041309502261
64,bbp080,L4,1,0.015316334843045837,11.0,0.5101501883535315,0.04637728985032105
65,bbp081,L4,1,0.02773479900776137,8.0,0.5074493436981145,0.0634311679622643
66,bbp082,L4,1,0.016343482705870938,10.0,0.5089658119182943,0.050896581191829424
67,bbp083,L4,1,0.03052819932257173,11.0,0.5229225646752951,0.04753841497048137
68,bbp084,L4,1,0.028600924446658692,12.0,0.5248490132920329,0.043737417774336075
69,bbp086,L4,1,0.031169379563633588,9.0,0.5086050395612338,0.05651167106235931
70,bbp087,L4,1,0.027339956965355457,11.0,0.5295504742672759,0.048140952206115986
71,bbp088,L4,1,0.016291550476938692,7.0,0.5009007526400396,0.07155725037714852
72,bbp089,L4,1,0.025323302572576426,9.0,0.5187789066933569,0.05764210074370632
73,bbp090,L4,1,0.017535334247784886,11.0,0.5066061031276468,0.046055100284331525
74,bbp091,L4,1,0.022851252065288406,13.0,0.5120376772949051,0.039387513638069624
75,bbp092,L4,1,0.05441380781963182,6.0,0.564617757940522,0.09410295965675368
76,bbp093,L4,1,0.01892240946896394,11.0,0.5209501872108923,0.04735910792826293
77,bbp094,L4,1,0.05130854461266585,8.0,0.5101166522978792,0.0637645815372349
78,bbp095,L4,1,0.023399773315981344,11.0,0.519814539596965,0.047255867236087726
79,bbp096,L4,1,0.060783453445463945,6.0,0.5100318380191249,0.08500530633652081
80,bbp097,L4,1,0.03851525160029678,10.0,0.5264569681926721,0.05264569681926721
81,bbp098,L4,1,0.019876749587334822,11.0,0.5157248387743474,0.0468840762522134
82,bbp099,L4,1,0.03711084136235735,8.0,0.5011950880512597,0.06264938600640746
83,bbp100,L4,1,0.012773070305954223,11.0,0.5094293698556517,0.046311760895968335
84,bbp101,L4,1,0.04334787162221911,9.0,0.5262932761453543,0.05847703068281714
85,bbp102,L4,1,0.0337981886850879,10.0,0.5128406681739844,0.051284066817398444
86,bbp106,L5,1,0.03048309815513756,7.0,0.5497482439734063,0.07853546342477233
87,bbp107,L5,1,0.017671639752079298,8.0,0.5080483529236592,0.0635060441154574
88,bbp108,L5,1,0.037738185050509354,6.0,0.525398327207766,0.087566387867961
89,bbp109,L5,1,0.051393891368606254,11.0,0.5233688083894092,0.04757898258085538
90,bbp111,L5,1,0.022389031762330366,10.0,0.5137736486559947,0.051377364865599476
91,bbp112,L5,1,0.04253881062100056,7.0,0.5378436320571462,0.07683480457959233
92,bbp113,L5,1,0.020449074564082056,12.0,0.5180812498577554,0.04317343748814628
93,bbp114,L5,1,0.0417037860879063,7.0,0.5513206918571119,0.07876009883673027
94,bbp115,L5,1,0.0181694096245173,10.0,0.5363816366471321,0.05363816366471321
95,bbp118,L5,1,0.0066943008066682,9.0,0.5211227557852364,0.05790252842058182
96,bbp119,L5,1,0.044738293438408815,10.0,0.5204873504258852,0.05204873504258852
97,bbp120,L5,1,0.027417401969841652,12.0,0.503246612894521,0.041937217741210085
98,bbp121,L5,1,0.03707260573335164,11.0,0.5189244813879221,0.047174952853447465
99,bbp122,L5,1,0.013005244118670769,9.0,0.521006479417037,0.05788960882411523
100,bbp124,L5,1,0.02284285316192656,13.0,0.5005180421643851,0.038501387858798856
101,bbp125,L5,1,0.02277626443047888,14.0,0.5257819949649292,0.037555856783209225
102,bbp126,L5,1,0.03317498349816473,8.0,0.5292373567146436,0.06615466958933044
103,bbp127,L5,1,0.012080537104053575,9.0,0.5115212966454541,0.056835699627272675
104,bbp128,L5,1,0.025274587432394805,14.0,0.5227681600628571,0.03734058286163265
105,bbp129,L5,1,0.02847012392263155,16.0,0.5062970676964325,0.03164356673102703
106,bbp132,L5,1,0.027067524326103973,11.0,0.5199108334163562,0.04726462121966875
107,bbp133,L5,1,0.034563467045346706,10.0,0.5078080959549761,0.05078080959549761
108,bbp134,L5,1,0.021272963870256196,8.0,0.5333058109590179,0.06666322636987723
109,bbp135,L5,1,0.013048420879904104,10.0,0.5156686160116482,0.05156686160116482
110,bbp136,L5,1,0.015203245612126966,10.0,0.5043483799149322,0.05043483799149322
111,bbp139,L5,1,0.02558227674742967,12.0,0.5002836241842998,0.04169030201535832
112,bbp140,L5,1,0.019762890069449247,12.0,0.5119969995387332,0.04266641662822777
113,bbp141,L5,1,0.019919327781867863,14.0,0.5055055304661846,0.03610753789044176
114,bbp142,L5,1,0.031269971721875664,8.0,0.51398455107004,0.064248068883755
115,bbp143,L5,1,0.022980309179358043,11.0,0.5152335626121537,0.04683941478292306
116,bbp144,L5,1,0.03494489945408471,15.0,0.5067372471191907,0.03378248314127938
117,bbp145,L5,1,0.03460551963284768,9.0,0.5137837002116998,0.057087077801299985
118,bbp146,L5,1,0.0545602316914369,11.0,0.5072797378670262,0.04611633980609329
119,bbp147,L5,1,0.045120452350983505,9.0,0.5362366238179812,0.0595818470908868
120,bbp148,L5,1,0.05409320206663074,10.0,0.518471234823692,0.051847123482369195
121,bbp149,L5,1,0.02513458528620862,9.0,0.5219386994436348,0.05799318882707053
122,bbp150,L5,1,0.018319869695151158,12.0,0.5263322399484103,0.043861019995700856
123,bbp151,L5,1,0.02888047421132732,10.0,0.5094551571050008,0.05094551571050008
124,bbp152,L5,1,0.016418316755376278,14.0,0.5246161730585568,0.037472583789896916
125,bbp153,L5,1,0.015603485456394246,13.0,0.5140908960418153,0.039545453541678106
126,bbp154,L5,1,0.009233126567756877,12.0,0.5098779033636007,0.04248982528030006
127,bbp155,L5,1,0.01954570990278437,14.0,0.5185207177330515,0.0370371941237894
128,bbp156,L6,1,0.042546405176756605,21.0,0.5149727355947851,0.024522511218799288
129,bbp159,L6,1,0.03129754307406742,7.0,0.5277489450175252,0.07539270643107503
130,bbp160,L6,1,0.01878755074496402,9.0,0.5299023624954582,0.058878040277273135
131,bbp161,L6,1,0.03593375651999336,6.0,0.5315144118667163,0.08858573531111939
132,bbp162,L6,1,0.03883799228253417,10.0,0.5267071574216444,0.05267071574216444
133,bbp164,L6,1,0.009859778560236789,11.0,0.5021859987063908,0.04565327260967189
134,bbp165,L6,1,0.029495799588546364,7.0,0.5305380034213909,0.07579114334591298
135,bbp166,L6,1,0.018088807615935513,12.0,0.5283249624653004,0.044027080205441695
136,bbp167,L6,1,0.03294365852160984,8.0,0.5444487708430603,0.06805609635538254
137,bbp168,L6,1,0.018452806534484254,9.0,0.5011849135243647,0.055687212613818295
138,bbp171,L6,1,0.009914005171960717,10.0,0.5292853352538056,0.05292853352538056
139,bbp172,L6,1,0.01696510126410154,13.0,0.5236452478366066,0.040280403679738966
140,bbp173,L6,1,0.017640491878230746,13.0,0.5197268806673361,0.03997899082056432
141,bbp174,L6,1,0.024991465120446133,14.0,0.5183666388712822,0.03702618849080587
142,bbp175,L6,1,0.0207524340915932,7.0,0.5371636964731565,0.07673767092473664
143,bbp176,L6,1,0.046949929300019164,16.0,0.5163282452698801,0.032270515329367505
144,bbp179,L6,1,0.022595609847036194,9.0,0.522218047899486,0.05802422754438733
145,bbp180,L6,1,0.0282801335037124,14.0,0.5252142600754187,0.03751530429110134
146,bbp181,L6,1,0.024264332986533042,9.0,0.5060930360708984,0.056232559563433156
147,bbp182,L6,1,0.023507597567932966,13.0,0.5018308088939927,0.03860236991492251
148,bbp185,L6,1,0.017532888944932937,11.0,0.5315798642912521,0.04832544220829565
149,bbp186,L6,1,0.024805906364090927,13.0,0.5025617121090421,0.03865859323915709
150,bbp187,L6,1,0.009135293761136044,10.0,0.5082429989498453,0.05082429989498453
151,bbp188,L6,1,0.028532868417300777,13.0,0.500216553380554,0.03847819641388877
152,bbp189,L6,1,0.009035569729016701,9.0,0.5344536333386909,0.05938373703763232
153,bbp192,L6,1,0.022561579134966474,12.0,0.5284940676180265,0.04404117230150221
154,bbp193,L6,1,0.021869364278814175,12.0,0.5184825673695523,0.04320688061412936
155,bbp194,L6,1,0.023752535418091657,13.0,0.5123251630555684,0.039409627927351414
156,bbp195,L6,1,0.03196487231646049,9.0,0.5344289473837576,0.05938099415375084
157,bbp196,L6,1,0.0187498350877142,13.0,0.5225760299450265,0.04019815614961742
158,bbp197,L6,1,0.02336713975524271,14.0,0.5133188863821053,0.036665634741578954
159,bbp198,L6,1,0.04423686261813739,9.0,0.5079606902977849,0.05644007669975388
160,bbp199,L6,1,0.051698375895853216,11.0,0.5141370665965794,0.04673973332696177
161,bbp200,L6,1,0.04976534954090523,8.0,0.5467649586536178,0.06834561983170223
162,bbp201,L6,1,0.05385967703617473,10.0,0.505350571315835,0.0505350571315835
163,bbp202,L6,1,0.018757485299367726,11.0,0.531632445880079,0.04833022235273445
164,bbp203,L6,1,0.027729167128109074,12.0,0.5030254688928487,0.04191878907440406
165,bbp204,L6,1,0.020790454448045528,11.0,0.5068104542825608,0.04607367766205098
166,bbp205,L6,1,0.031103012350882177,15.0,0.5101446568670148,0.034009643791134324
167,bbp206,L6,1,0.02462723673038568,15.0,0.5047148402378063,0.033647656015853754
168,bbp207,L6,1,0.02323295031516977,17.0,0.5046256692289197,0.029683862895818806
